reaction_id,gene_id
r_0963,YDR204W
r_0963,YLR201C
r_0963,YOR125C
r_0963,YML110C
r_0963,YOL096C
r_0963,YGR255C
r_0964,YDR135C
r_0965,YDR236C
r_0966,YDR236C
r_0967,YOL143C
r_0968,YBR256C
r_0969,YCR036W
r_0970,YGR209C
r_0971,YGR209C
r_0972,YGR209C
r_0973,YGR209C
r_0974,YER070W
r_0974,YJL026W
r_0974,YIL066C
r_0974,YGR180C
r_0975,YER070W
r_0975,YJL026W
r_0975,YIL066C
r_0975,YGR180C
r_0976,YER070W
r_0976,YJL026W
r_0976,YIL066C
r_0976,YGR180C
r_0977,YER070W
r_0977,YJL026W
r_0977,YIL066C
r_0977,YGR180C
r_0978,YER070W
r_0978,YJL026W
r_0978,YIL066C
r_0978,YGR180C
r_0979,YER070W
r_0979,YJL026W
r_0979,YIL066C
r_0979,YGR180C
r_0982,YOR095C
r_0983,YNL129W
r_0984,YJL121C
r_0985,YDR204W
r_0985,YLR201C
r_0985,YOR125C
r_0985,YML110C
r_0985,YOL096C
r_0985,YGR255C
r_0986,YML008C
r_0987,YJL068C
r_0988,YIR034C
r_0989,YNR050C
r_0990,YKL060C
r_0992,YOR253W
r_0992,YDL040C
r_0992,YHR013C
r_0993,YMR296C
r_0993,YGR038W
r_0993,YBR058C-A
r_0993,YDR062W
r_0993,YKL212W
r_0993,YLR350W
r_0995,YHR011W
r_0995,YDR023W
r_0996,YDR127W
r_0997,YDR127W
r_0998,YBR213W
r_0999,YBR213W
r_1000,YEL047C
r_1001,YPR069C
r_1002,YLR146C
r_1003,YDR294C
r_1004,YJL134W
r_1004,YKR053C
r_1005,YJL134W
r_1005,YKR053C
r_1006,YOR171C
r_1006,YLR260W
r_1007,YOR171C
r_1007,YLR260W
r_1010,YGR175C
r_1011,YGR175C
r_1012,YHR190W
r_1021,YLR164W
r_1021,YKL148C
r_1021,YKL141W
r_1021,YJL045W
r_1021,YLL041C
r_1021,YDR178W
r_1022,YOR142W
r_1022,YGR244C
r_1023,YBR006W
r_1024,YIL162W
r_1025,YJR010W
r_1026,YCL050C
r_1027,YFR030W
r_1027,YJR137C
r_1028,YLL048C
r_1029,YLL057C
r_1030,YDR019C
r_1030,YAL044C
r_1030,YMR189W
r_1030,YFL018C
r_1031,YOR241W
r_1031,YKL132C
r_1032,YBR092C
r_1033,YBR092C
r_1034,YOR143C
r_1035,YOR143C
r_1036,YPL214C
r_1037,YIL010W
r_1037,YGR209C
r_1037,YLR043C
r_1038,YDR353W
r_1038,YGR209C
r_1038,YLR043C
r_1039,YPL091W
r_1039,YCR083W
r_1039,YHR106W
r_1040,YEL046C
r_1041,YCR053W
r_1042,YIL078W
r_1043,YKL194C
r_1045,YOR074C
r_1046,YER175C
r_1047,YBR003W
r_1048,YGR043C
r_1048,YLR354C
r_1049,YBR117C
r_1049,YPR074C
r_1050,YBR117C
r_1050,YPR074C
r_1051,YBR126C
r_1051,YDR074W
r_1051,YMR261C
r_1051,YML100W
r_1054,YDR050C
r_1055,YGL026C
r_1056,YGL202W
r_1057,YOL097C
r_1058,YDR268W
r_1063,YGL202W
r_1065,YLR027C
r_1066,YGR185C
r_1067,YPL097W
r_1068,YLR189C
r_1069,YDL103C
r_1070,YBR019C
r_1071,YBR018C
r_1072,YKL024C
r_1073,YKL024C
r_1074,YHR128W
r_1075,YBR208C
r_1076,YIR032C
r_1077,YDR020C
r_1077,YNR012W
r_1078,YDR020C
r_1078,YNR012W
r_1079,YKL024C
r_1080,YKL024C
r_1081,YDR047W
r_1082,YKR069W
r_1083,YOR278W
r_1084,YKL035W
r_1084,YHL012W
r_1085,YKL080W
r_1085,YLR447C
r_1085,YPL234C
r_1085,YBR127C
r_1085,YDL185W
